Source,Target,Weight
3,3,431724
3,3,3718301
3,3,4859813
3,3,121942
26,3,1153317
26,3,250069
26,3,414276
26,3,17678
26,3,1538673
26,3,144754
26,3,275266
26,3,41622
26,3,19833
26,3,511583
26,3,280533
26,3,147844
26,3,261815
45,3,28481
45,3,1
45,3,20950
45,3,1883738
45,3,37000
45,3,2249250
45,3,10511721
73,3,10818
73,3,34750
73,3,710523
73,3,88496
73,3,281330
73,3,88496
73,3,85682
73,3,75000
73,3,189057
73,3,75471
73,3,94502
73,3,44248
73,3,30000
97,3,940
97,3,2674
97,3,31237
97,3,93615
97,3,102088
97,3,46231
100,3,34500
100,3,30000
101,3,100.26
101,3,1804.64
101,3,5098.56
101,3,217.72
101,3,75489.45
101,3,1228.9
101,3,217.71
101,3,224.54
101,3,100.26
101,3,2101.34
101,3,3562.1
101,3,16897.35
101,3,300.77
101,3,509.86
101,3,119.97
101,3,15717.34
101,3,3007.73
101,3,622.07
101,3,1107.18
101,3,300.77
101,3,509.86
101,3,601.55
101,3,2083.17
101,3,1107.16
101,3,2213.19
101,3,700.45
101,3,673.62
101,3,1141.89
101,3,1140.59
101,3,70.77
101,3,50692.04
101,3,47152.03
101,3,79929.89
101,3,1002.58
101,3,1866.22
101,3,3163.53
101,3,653.15
101,3,3059.13
101,3,409.63
101,3,653.13
101,3,44532.54
101,3,14844.18
101,3,6639.58
101,3,11255.1
101,3,3421.76
101,3,5800.41
101,3,23.59
101,3,85930.75
112,3,110528
112,3,1856455
112,3,100000
115,3,3538806
115,3,321614
115,3,1326198
115,3,275310
115,3,93198
127,3,1192754
127,3,7947792
127,3,3057718
127,3,178520
127,3,4153345
127,3,6074628
128,3,65162
128,3,23900
128,3,3863000
128,3,241438
164,3,168403
164,3,19737443
166,3,494481
180,3,2710406
192,3,107689
192,3,304656
192,3,1707345
192,3,688932
192,3,1996515
192,3,469816
192,3,567074
192,3,266762
192,3,3439
195,3,3520527
195,3,96647
195,3,227
195,3,21309
195,3,2798117
195,3,20000
195,3,44041
195,3,154850
195,3,119800
195,3,1000000
198,3,100000
202,3,24999
258,3,3664112
258,3,34884
258,3,1983449
258,3,225
258,3,276183
269,3,591387
269,3,3084420
333,3,10898
333,3,87478
333,3,72624
345,3,40500
345,3,158840
345,3,13500
345,3,51107
345,3,337774
345,3,136199
350,3,922400
350,3,151690
350,3,28000
350,3,782310
384,3,2634842
384,3,410250
395,3,11200
415,3,4761905
426,3,5613
426,3,11.65
426,3,21.37
426,3,8254.43
426,3,584.52
426,3,45.4
426,3,22.84
426,3,32.98
426,3,363.2
426,3,635.66
426,3,53794.56
426,3,89147.75
426,3,78463.11
426,3,1854.35
426,3,8254.42
426,3,75.69
426,3,990.53
426,3,11.65
426,3,769.07
426,3,7868.93
426,3,47.38
426,3,414.16
426,3,990.53
426,3,2733.96
426,3,58965.86
426,3,35.23
426,3,9271.74
426,3,5613
426,3,3962.12
426,3,251.3
426,3,47.62
436,3,204920
436,3,3537822
456,3,5088566
456,3,2918000
456,3,1445167
456,3,2543925
456,3,4085000
456,3,2825051
456,3,527703
456,3,1869159
470,3,6200
534,3,934309
534,3,620791
534,3,9185
534,3,992741
534,3,29750
534,3,67320
534,3,1400145
541,3,4931882
541,3,9656
541,3,192860
541,3,1625951
541,3,2758358
541,3,50315
541,3,130000
541,3,45380
541,3,231142
541,3,13935000
542,3,3072275
544,3,119513
544,3,111747
560,3,13989
560,3,1380571
560,3,7093
560,3,95460
560,3,87566
560,3,476487
560,3,1415929
560,3,3707047
560,3,110780
560,3,1761882
560,3,641080
560,3,589596
560,3,300000
560,3,1935480
560,3,103562
560,3,221347
560,3,384450
560,3,2503422
560,3,770000
594,3,3440573
594,3,9427
6,4,364999
6,4,4625
16,4,866100
19,4,1920330.41
19,4,7901.25
26,4,1453167
26,4,2862964
26,4,10658
26,4,1672165
26,4,1723472
26,4,197138
26,4,967885
26,4,1317285
26,4,312500
26,4,30000
26,4,13449520
26,4,5000843
26,4,95
26,4,294975
26,4,862
26,4,1414161
26,4,68422
26,4,1100000
26,4,3042600
26,4,1104947
26,4,80248
26,4,100000
26,4,525133
26,4,79607
26,4,25000
26,4,30000
26,4,220834
26,4,5104538
26,4,2820080
26,4,7270790
26,4,7708565
26,4,5655634
26,4,385032
26,4,365135
26,4,3012305
26,4,1003179
26,4,9558989
26,4,434005
26,4,50000
30,4,614743
32,4,8000
45,4,40183
45,4,595654
45,4,423266
45,4,7834
45,4,10661322
45,4,740801
45,4,130
45,4,1647588
45,4,25017
45,4,220000
45,4,397500
45,4,42193
45,4,216159
45,4,148763
45,4,777284
45,4,4000000
45,4,4804249
45,4,1012597
45,4,318222
45,4,4049405
45,4,187350
45,4,38032
45,4,294725
45,4,51085
45,4,360000
45,4,362966
45,4,50000
45,4,170000
45,4,208000
45,4,376042
45,4,140933
45,4,36592
45,4,14940
45,4,98500
45,4,216164
45,4,276738
45,4,82655
45,4,236498
45,4,968328
45,4,918106
45,4,132500
45,4,1362167
45,4,274999
45,4,170329
45,4,266343
48,4,29000
51,4,25000
51,4,13274
56,4,1
64,4,300.94
64,4,73140.83
69,4,720000
71,4,55543
71,4,85000
71,4,265370
71,4,489177
71,4,68020
71,4,5000
73,4,34434
73,4,231202
73,4,246491
73,4,28000
73,4,1319715
73,4,165000
73,4,60359
73,4,405053
73,4,28664
73,4,72256
73,4,868624
73,4,339466
73,4,433963
73,4,145000
73,4,645023
73,4,124750
73,4,60000
73,4,1166376
73,4,22088
73,4,4607
73,4,39127
73,4,116235
73,4,474645
81,4,12697
81,4,1144334
97,4,882987
97,4,75000
97,4,121743
97,4,23000
97,4,226538
97,4,882987
97,4,2648960
97,4,178849
97,4,78198
97,4,1034986
97,4,92737
97,4,77874
97,4,64843
97,4,815415
97,4,30000
97,4,596025
97,4,3461678
97,4,969834
97,4,607043
97,4,248721
100,4,604
100,4,48781
100,4,64017
100,4,250000
100,4,351811
100,4,96717
100,4,789638
100,4,32000
108,4,225841
108,4,25403
112,4,1417127
112,4,5550281
112,4,139661
112,4,1
112,4,17766
112,4,128810
112,4,1061494
112,4,159300
112,4,325859
112,4,28143
112,4,50720
112,4,185986
112,4,126252
112,4,287440
112,4,850000
112,4,7003005
112,4,227669
112,4,440000
112,4,85794
112,4,2132149
115,4,9836
115,4,356036
115,4,32750
115,4,751
115,4,379480
115,4,100000
115,4,163149
115,4,2200
115,4,400000
115,4,33000
115,4,387833
119,4,125750
128,4,27865
128,4,42000
128,4,118822
128,4,265000
128,4,95191
128,4,1899057
128,4,780667
128,4,100000
128,4,1021264
128,4,105663
128,4,779891
128,4,942066
128,4,270000
128,4,205000
128,4,2041411
128,4,289500
128,4,151448
134,4,1
149,4,178300
154,4,7528
159,4,139292
164,4,1358005
166,4,840171
166,4,2846334
167,4,10000
167,4,13780
167,4,28000
169,4,350000
178,4,87000
180,4,1866210
180,4,1400445
192,4,13140
192,4,75707.04
192,4,74939.72
192,4,591070
192,4,437430
192,4,825259
192,4,555718
192,4,90000
192,4,100000
192,4,118000
192,4,257685
192,4,1097781
192,4,1
192,4,4056164
192,4,136000
192,4,85000
192,4,294367
192,4,106389
192,4,79276
192,4,78333
192,4,114953
192,4,5310250
195,4,10484710
195,4,2779842
195,4,96752
195,4,1133
195,4,10000
195,4,1303615
195,4,611492
195,4,882452
195,4,521042
195,4,108235
195,4,16000
195,4,278439
195,4,432199
195,4,168965
195,4,4172
195,4,135172
195,4,1
195,4,104748
195,4,285912
195,4,510108
195,4,24993
195,4,142434
195,4,280861
195,4,26003
195,4,12802
195,4,167760
195,4,63362
195,4,159725
195,4,11039058
195,4,527035
195,4,160000
195,4,100000
195,4,300000
195,4,405565
195,4,1162902
195,4,5731
195,4,8192
195,4,69000
195,4,246643
195,4,500846
195,4,156765
195,4,2000000
195,4,24895
195,4,200000
195,4,567947
195,4,42546
195,4,68965
195,4,138215
195,4,561
195,4,93771
195,4,300000
198,4,457625
202,4,597682
202,4,31836.96
202,4,10000
202,4,31514.28
202,4,20833
202,4,834781
202,4,325728
205,4,197904
220,4,279251
220,4,25000
256,4,223747
256,4,285639
264,4,1068000
264,4,60402
268,4,3038801.9
268,4,12503.23
270,4,456238
277,4,326644
277,4,209374
277,4,245284
277,4,113392
277,4,1620
277,4,261697
320,4,31132
320,4,26229
320,4,63580
320,4,833396
320,4,112433
320,4,196646
320,4,50000
320,4,40000
320,4,513625
320,4,142945
320,4,75000
320,4,14188
326,4,15000
326,4,500000
326,4,37370
333,4,796536
340,4,668764
340,4,60000
340,4,2245000
340,4,15900
344,4,15000
346,4,470316
346,4,54782
348,4,353000
348,4,87027
353,4,428598
353,4,1175260
361,4,2829834
361,4,275000
361,4,1110738
361,4,100000
384,4,1169750
384,4,82176
384,4,1401000
395,4,56485
401,4,303160
401,4,7956
401,4,15000
401,4,370187
401,4,480000
401,4,1260001
401,4,110660
401,4,22928
401,4,103750
401,4,80000
401,4,528489
401,4,103855
401,4,455728
401,4,47160
401,4,207654
401,4,440245
401,4,147000
407,4,88235
416,4,18692
426,4,34227.58
426,4,20720.98
426,4,42.99
426,4,130.05
426,4,14626.57
426,4,927.68
426,4,2157.83
426,4,2839.11
426,4,198588.19
426,4,1528.92
426,4,329098.15
426,4,217678.59
426,4,289654.7
426,4,6845.51
426,4,30472.08
426,4,30472.05
426,4,3656.65
426,4,175.79
426,4,29048.99
426,4,10092.68
426,4,78.89
426,4,20720.98
426,4,279.43
426,4,167.6
426,4,42.99
426,4,84.33
426,4,174.9
426,4,121.74
426,4,1340.8
426,4,3656.65
426,4,2346.6
435,4,16621
435,4,2706
436,4,29128136
436,4,34758
436,4,443333
436,4,15000
436,4,451667
436,4,1100
436,4,2000000
436,4,8916
437,4,5040
456,4,523020
456,4,2474798
456,4,281546
456,4,1643635
456,4,165000
456,4,1025202
456,4,2243996
456,4,39977
458,4,183784
468,4,315000
470,4,133565
470,4,99074
481,4,45500.01
481,4,187.21
485,4,87623
485,4,42009
497,4,353310
501,4,262522
508,4,2056660
509,4,39505
509,4,40000
509,4,57427
531,4,2762.96
531,4,671514.37
531,4,923.41
531,4,224427.49
538,4,835010
538,4,102437
538,4,199876
538,4,20842
538,4,44790
540,4,619126
540,4,9000
540,4,135000
542,4,74339
542,4,250000
542,4,18519
547,4,47282
547,4,14150
547,4,1072806
548,4,12200
548,4,222316
552,4,12893
552,4,11234
556,4,441782
556,4,531946
560,4,314970
560,4,300606
560,4,279183
560,4,74107
560,4,24215
560,4,57830
560,4,61
560,4,2220
560,4,393343
560,4,548298
560,4,30097
560,4,6694
560,4,33240
560,4,1030405
560,4,51000
560,4,223768
560,4,262987
560,4,283874
560,4,6000
560,4,262987
560,4,1112400
560,4,162850
560,4,104633
560,4,31122
560,4,820299
560,4,487439
560,4,410455
560,4,613395
560,4,38839
560,4,210000
560,4,1
570,4,6442
586,4,205972
586,4,98050
586,4,624178
586,4,458367
586,4,102354
586,4,992664
589,4,50000
591,4,386182
594,4,250000
598,4,12494
26,12,1000
26,12,51895
26,12,130691
26,12,259860
26,12,12029
26,12,49058
26,12,55630
26,12,336591
26,12,22132
26,12,4971
48,12,2492
75,12,10793
97,12,12000
100,12,834055
100,12,40000
100,12,35000
112,12,420456
112,12,33436
112,12,19958
115,12,231814
124,12,11000
124,12,10000
124,12,129500
195,12,1715917
195,12,6556
195,12,535000
195,12,1935
195,12,11500
195,12,27000
195,12,4636
195,12,27280
195,12,20000
195,12,2490
195,12,13257
195,12,4939
195,12,4139
195,12,318000
195,12,8200
195,12,19970
195,12,5000
195,12,8152
202,12,70000
267,12,174042
271,12,14065
348,12,4158
509,12,1191
509,12,43057
534,12,130
534,12,50098
534,12,5000
538,12,59335
544,12,23364
547,12,4000
549,12,32710
560,12,650000
560,12,24600
560,12,346185
560,12,30000
26,13,33719
26,13,81459
26,13,233079
26,13,20000
26,13,15000
26,13,61793
26,13,444984
26,13,63000
26,13,73000
26,13,26054
26,13,8000
26,13,645115
26,13,71000
26,13,7000
73,13,2000
81,13,1021326
97,13,91000
97,13,84000
97,13,73000
97,13,88000
97,13,24752
97,13,24000
100,13,60000
112,13,298048
115,13,150000
192,13,31308
195,13,54863
195,13,442851
195,13,60000
264,13,9988
333,13,215642
340,13,100000
347,13,421150
401,13,20000
436,13,248687
456,13,7250
570,13,1000
26,17,57000
26,17,12000
14,18,30000
26,18,1250537.19
26,18,1972327.55
26,18,2996688.8
26,18,10677734.98
26,18,503568.29
26,18,91397.72
26,18,644399.91
26,18,2377756.09
26,18,155564.91
26,18,2509070.77
26,18,44586.01
26,18,2630535.5
26,18,9115828.14
26,18,7828100.25
26,18,4327460.03
32,18,56300
37,18,250000
37,18,15000
45,18,70000
45,18,65000
45,18,80000
45,18,15000
45,18,12815
45,18,40000
45,18,169438
45,18,473618
45,18,29413
45,18,249593
45,18,158437
45,18,9000
45,18,60473.54
45,18,3333
45,18,35000
48,18,6000
48,18,50000
48,18,10000
48,18,525716
48,18,50000
73,18,41500
73,18,82383
73,18,15000
73,18,22400
73,18,248
73,18,2117
79,18,20000
97,18,274376.62
97,18,107563.01
97,18,2348451.68
97,18,401662.79
97,18,1504165.11
97,18,1079819.82
97,18,298060.37
97,18,761966.26
97,18,367155.21
100,18,104
100,18,204744
100,18,250000
100,18,50000
100,18,101059
100,18,108536
100,18,117423.42
112,18,150667
112,18,20701
112,18,499998.9
112,18,93526.7
112,18,2075251.31
115,18,24000
115,18,606891.61
122,18,16000
125,18,99317
128,18,292824.58
128,18,121965
128,18,26444
128,18,433756.45
128,18,5397.84
128,18,154000
128,18,2168816.98
128,18,760464.67
140,18,4200
164,18,1998250.39
166,18,280563.5
167,18,18000
173,18,5000
175,18,14000
178,18,55998
178,18,119585.07
178,18,416.93
180,18,75049.06
180,18,267458.94
191,18,45000
192,18,357536
192,18,79394
192,18,40000
192,18,155000
192,18,653867.4
192,18,748250
192,18,560000
192,18,282000
192,18,40000
192,18,7500
195,18,309450.56
195,18,67651.28
195,18,25000
195,18,99793.82
195,18,5000
195,18,195167.61
195,18,164346.72
195,18,7903225.44
195,18,70000
195,18,12800
195,18,927470.29
195,18,2235522
195,18,3336411
195,18,2969
195,18,50000
195,18,351559.04
195,18,55512.93
195,18,504043.49
195,18,100000
195,18,10500
198,18,540000
199,18,200000
199,18,190000
202,18,175665
202,18,152000.79
202,18,3660
202,18,189840
202,18,126432
256,18,11100
263,18,30000
264,18,469140
277,18,1850
293,18,37000
313,18,25000
320,18,1411004.48
326,18,85000
326,18,27041
326,18,7000
332,18,4928
333,18,629000
333,18,367657.07
333,18,147760
333,18,267259.27
334,18,36400
340,18,148552
340,18,175000
346,18,8784
347,18,26750
347,18,7000
347,18,6000
348,18,80313
348,18,250000
348,18,287273
361,18,370
361,18,50000
361,18,1334233
365,18,83110
388,18,3000
388,18,11073
388,18,113243
388,18,103325
388,18,39562.06
395,18,2754
395,18,65474
401,18,7800
401,18,22000
401,18,26621
401,18,59627
401,18,145759
401,18,25000
401,18,49900
401,18,298074
401,18,59080
401,18,52000
401,18,34577
401,18,500000
426,18,1473900
433,18,187000
436,18,1230562.86
436,18,405044.72
436,18,693275.59
436,18,531212.35
436,18,777058.41
436,18,386475.94
437,18,2928
458,18,319200
468,18,239000
468,18,200000
468,18,4500
470,18,25000
470,18,36168.98
470,18,56318
485,18,35500
499,18,770489
501,18,784000
508,18,65679
509,18,79816
509,18,44000
509,18,136052
509,18,255557
509,18,350000
517,18,30000
530,18,9000
538,18,149061.03
538,18,15000
540,18,7500
540,18,133500
542,18,15500
543,18,12800
547,18,50342
548,18,92651
548,18,48277.06
552,18,5000
560,18,40000
560,18,444000
561,18,750
589,18,250694
589,18,50000
594,18,412626
19,19,1105400
26,19,520625
26,19,18553
26,19,2535227
26,19,169337
45,19,807333
48,19,1000
69,19,410000
73,19,59675
73,19,2000
73,19,156500
81,19,472526
97,19,414199
97,19,248816
97,19,1273834
100,19,56977
112,19,1484300
112,19,1415673
112,19,15261
115,19,706779
115,19,100000
128,19,751000
128,19,25000
128,19,25000
128,19,189619
128,19,25000
180,19,798355
180,19,598496
192,19,633955
192,19,28037
192,19,865526
192,19,891368
195,19,168000
195,19,442660
195,19,15000
195,19,432333
202,19,11158
256,19,140000
256,19,60000
256,19,160000
264,19,55916
264,19,13198
264,19,56943
340,19,100000
345,19,219133
353,19,184000
361,19,55000
384,19,706041
384,19,586046
384,19,1993443
384,19,140184
395,19,60000
401,19,68544
401,19,15000
426,19,4706.95
426,19,10.85
426,19,4190.49
426,19,2849.53
426,19,38.43
426,19,5.91
426,19,27309.68
426,19,11.6
426,19,24.05
426,19,16.74
426,19,184.39
426,19,322.7
426,19,45257.3
426,19,29934.98
426,19,39833.07
426,19,17.88
426,19,941.39
426,19,2011.43
426,19,502.86
426,19,127.57
426,19,23.05
426,19,390.43
426,19,3994.79
426,19,502.86
426,19,1387.94
426,19,2849.53
426,19,4190.49
426,19,5.91
426,19,296.74
426,19,24.17
426,19,210.26
436,19,55800
456,19,72545
456,19,2197000
456,19,325000
456,19,88500
456,19,160950
458,19,394630
470,19,49216
509,19,33323
509,19,15779
541,19,97055
541,19,9696
541,19,209100
556,19,10000
560,19,21
560,19,3425
560,19,11880
560,19,167
560,19,808
560,19,1951
560,19,8250
560,19,870000
560,19,244701
560,19,1120000
560,19,271932
560,19,262987
560,19,2619
560,19,12987
560,19,34250
560,19,218739
570,19,1000
26,20,2277.67
26,20,4520
32,20,52770.13
101,20,49999.78
112,20,9563.77
112,20,11104.8
115,20,4239.16
128,20,9184.34
128,20,15000
128,20,61472
195,20,81370.58
195,20,302459.36
540,20,7637.13
26,23,6591.19
26,23,6317.11
26,23,7856.06
26,23,111033.56
26,23,287096.6
26,23,89616.58
26,23,38719.86
26,23,8448.18
26,23,131572.52
26,23,30092.53
26,23,163034.99
32,23,299496.22
48,23,111600
112,23,151212.45
112,23,210946.62
112,23,24505.65
115,23,199995.08
164,23,1015979.81
167,23,5500
